date,time,run_by,nruns,system,species,scenario,Item,Group,Mean,Stdev,Min,Q1,Median,Q3,Max
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Juvenile Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Juvenile Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Adult Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Adult Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Overall,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Neonatal Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Juvenile Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Adult Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Female Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Deaths,Male Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Neonatal Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Neonatal Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Juvenile Female,109294.5196,17101.7917,78904.59226,96520.00542,106351.4421,118584.595,188001.1288
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Juvenile Male,1157624.513,212508.6836,780095.9237,998894.2191,1121032.958,1273032.636,2136034.482
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Adult Female,606960.9602,7584.704915,593435.5708,601292.0287,605665.4534,611095.9984,641680.9559
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Adult Male,1870758.39,87556.1507,1714655.825,1805319.749,1855796.842,1918482.464,2271682.671
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Overall,3744638.383,324751.1451,3167091.911,3502026.002,3688846.695,3921195.693,5237399.239
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Neonatal Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Juvenile Combined,1266919.032,229610.475,859000.5159,1095414.225,1227384.4,1391617.231,2324035.611
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Adult Combined,2477719.35,95140.85555,2308091.395,2406611.778,2461462.295,2529578.462,2913363.627
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Female Combined,716255.4798,24686.48259,672340.1631,697812.0341,712016.8955,729680.5934,829682.0847
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Offtakes,Male Combined,3028382.903,300064.6629,2494751.748,2804213.968,2976829.799,3191515.1,4407717.154
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Neonatal Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Neonatal Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Juvenile Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Juvenile Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Adult Female,1686002.667,21068.62476,1648432.141,1670255.635,1682404.037,1697488.885,1782447.1
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Adult Male,866091.8472,40535.25495,793822.1411,835796.1801,859165.2045,888186.3259,1051704.941
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Overall,2552094.514,61603.87959,2442254.282,2506051.815,2541569.242,2585675.21,2834152.04
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Neonatal Combined,0,0,0,0,0,0,0
