date,time,run_by,nruns,Item,Group,Mean,StDev,Min,Q1,Median,Q3,Max
2023-08-14,16:29,AL,10000,Births,Neonatal Female,10628537.3879582,3586119.38290511,4111698.04021034,7945842.55527994,10035888.6802123,12576402.9962183,33625260.7689474
2023-08-14,16:29,AL,10000,Births,Neonatal Male,10628537.3879582,3586119.38290511,4111698.04021034,7945842.55527994,10035888.6802123,12576402.9962183,33625260.7689474
2023-08-14,16:29,AL,10000,Births,Juvenile Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Births,Juvenile Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Births,Adult Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Births,Adult Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Births,Overall,21257074.7759164,7172238.76581021,8223396.08042068,15891685.1105599,20071777.3604246,25152805.9924366,67250521.5378948
2023-08-14,16:29,AL,10000,Births,Neonatal Combined,21257074.7759164,7172238.76581021,8223396.08042068,15891685.1105599,20071777.3604246,25152805.9924366,67250521.5378948
2023-08-14,16:29,AL,10000,Births,Juvenile Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Births,Adult Combined,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Births,Female Combined,10628537.3879582,3586119.38290511,4111698.04021034,7945842.55527994,10035888.6802123,12576402.9962183,33625260.7689474
2023-08-14,16:29,AL,10000,Births,Male Combined,10628537.3879582,3586119.38290511,4111698.04021034,7945842.55527994,10035888.6802123,12576402.9962183,33625260.7689474
2023-08-14,16:29,AL,10000,Growth in,Neonatal Female,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Growth in,Neonatal Male,0,0,0,0,0,0,0
2023-08-14,16:29,AL,10000,Growth in,Juvenile Female,7576303.38058819,1892287.87378517,4089621.43745814,6157612.06634405,7273074.07315212,8617504.87793284,19366745.5676285
2023-08-14,16:29,AL,10000,Growth in,Juvenile Male,7576303.38058819,1892287.87378517,4089621.43745814,6157612.06634405,7273074.07315212,8617504.87793284,19366745.5676285
2023-08-14,16:29,AL,10000,Growth in,Adult Female,5429950.03855252,810431.946552075,3926698.99679207,4821737.78876002,5302055.99817025,5878762.87231409,10407561.3782673
