species,region,production_system,group,age_group,sex,year,ahle_total_mean,ahle_dueto_ppr_total_mean,ahle_dueto_bruc_total_mean,ahle_dueto_fmd_total_mean,ahle_total_stdev,ahle_dueto_ppr_total_stdev,ahle_dueto_bruc_total_stdev,ahle_dueto_fmd_total_stdev,ahle_dueto_mortality_mean,ahle_dueto_ppr_mortality_mean,ahle_dueto_bruc_mortality_mean,ahle_dueto_fmd_mortality_mean,ahle_dueto_mortality_stdev,ahle_dueto_ppr_mortality_stdev,ahle_dueto_bruc_mortality_stdev,ahle_dueto_fmd_mortality_stdev,ahle_dueto_healthcost_mean,ahle_dueto_ppr_healthcost_mean,ahle_dueto_bruc_healthcost_mean,ahle_dueto_fmd_healthcost_mean,ahle_dueto_healthcost_stdev,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_bruc_healthcost_stdev,ahle_dueto_fmd_healthcost_stdev,ahle_dueto_productionloss_mean,ahle_dueto_ppr_productionloss_mean,ahle_dueto_bruc_productionloss_mean,ahle_dueto_fmd_productionloss_mean,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_bruc_productionloss_stdev,ahle_dueto_fmd_productionloss_stdev,ahle_when_af_ideal_mean,ahle_when_am_ideal_mean,ahle_when_jf_ideal_mean,ahle_when_jm_ideal_mean,ahle_when_nf_ideal_mean,ahle_when_nm_ideal_mean,ahle_when_o_ideal_mean,ahle_when_a_ideal_mean,ahle_when_j_ideal_mean,ahle_when_n_ideal_mean,ahle_when_af_mort_imp100_mean,ahle_when_am_mort_imp100_mean,ahle_when_j_mort_imp100_mean,ahle_when_n_mort_imp100_mean,ahle_when_a_mort_imp100_mean,ahle_total_mean_usd,ahle_dueto_ppr_total_mean_usd,ahle_dueto_bruc_total_mean_usd,ahle_dueto_fmd_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_fmd_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_fmd_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_dueto_fmd_productionloss_mean_usd,ahle_when_af_ideal_mean_usd,ahle_when_am_ideal_mean_usd,ahle_when_jf_ideal_mean_usd,ahle_when_jm_ideal_mean_usd,ahle_when_nf_ideal_mean_usd,ahle_when_nm_ideal_mean_usd,ahle_when_o_ideal_mean_usd,ahle_when_a_ideal_mean_usd,ahle_when_j_ideal_mean_usd,ahle_when_n_ideal_mean_usd,ahle_when_af_mort_imp100_mean_usd,ahle_when_am_mort_imp100_mean_usd,ahle_when_j_mort_imp100_mean_usd,ahle_when_n_mort_imp100_mean_usd,ahle_when_a_mort_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_bruc_total_stdev_usd,ahle_dueto_fmd_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_bruc_mortality_stdev_usd,ahle_dueto_fmd_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_bruc_healthcost_stdev_usd,ahle_dueto_fmd_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_bruc_productionloss_stdev_usd,ahle_dueto_fmd_productionloss_stdev_usd
Sheep,National,Pastoral,Juvenile Combined,Juvenile,Overall,2021,3162043669.9766564,181752196.54549503,56922488.104240894,0.0,931713354.6053107,1114588863.110895,1140195345.4424913,0.0,1097852699.7733366,115050324.62602699,0.0,0.0,167755.02279734483,16539.989827660815,0.0,0.0,6905364.521633539,2981545.85353651,186696.4243765534,0.0,475469.6853000113,1617257.4564856472,108810.9395292548,0.0,2057285605.6816862,63720326.065931536,56735791.67986434,0.0,931713491.0277144,1114590036.5453162,1140195350.6345055,0.0,,,,,,,,,,,,,,,,90532501.94792128,5203748.842569108,1629748.2903567106,0.0,31432630.935642324,3294006.9225519765,0.0,0.0,197707.5563319181,85364.66727390372,5345.307075934545,0.0,58902163.455947034,1824377.2527432276,1624402.983280776,0.0,,,,,,,,,,,,,,,,26675893.787176024,31911804.185001466,32644943.620606348,0.0,4802.995629812513,473.5566037588454,0.0,0.0,13613.177015647787,46303.71339262938,3115.3670293744326,0.0,26675897.693087142,31911837.78161338,32644943.769258954,0.0
Sheep,National,Pastoral,Juvenile Female,Juvenile,Female,2017,1261250854.1435776,73950904.92654806,24014436.304371953,0.0,512664145.07891965,606280530.4751389,619696970.1880984,0.0,498132049.0755677,50386808.749334864,0.0,0.0,108770.48748819983,10801.31315840596,0.0,0.0,3153910.9382442823,1353050.384632658,84715.88541266158,0.0,292923.87240565725,1031371.9404200348,69386.51786771322,0.0,759964894.1297656,22211045.79258054,23929720.41895929,0.0,512664240.30247474,606281407.8280511,619696974.0726492,0.0,,,,,,,,,,,,,,,,52846951.055384725,3098574.593876793,1006215.1679267196,0.0,20871946.23506537,2111228.870184777,0.0,0.0,132150.21931510564,56693.39070593141,3549.6318875093975,0.0,31842854.601004247,930652.3329860847,1002665.5360392103,0.0,,,,,,,,,,,,,,,,21480847.28254396,25403413.931963917,25965568.50297488,0.0,4557.530018453311,452.5796481650449,0.0,0.0,12273.635730052247,43214.926099919256,2907.324820920352,0.0,21480851.27245171,25403450.693426758,25965568.665739223,0.0
Sheep,National,Pastoral,Juvenile Female,Juvenile,Female,2018,1324313396.8507564,77648450.17287552,25215158.11959064,0.0,538297352.3328656,636594556.9988959,650681818.6975034,0.0,523038651.52934617,52906149.18680162,0.0,0.0,114207.42441506559,11317.804395391207,0.0,0.0,3311606.485156497,1420702.903864291,88951.67968329466,0.0,307570.0660259401,1082940.5374410364,72855.84376109888,0.0,797963138.8362536,23321598.082209613,25126206.439907346,0.0,538297452.3172617,636595478.2190342,650681822.7762818,0.0,,,,,,,,,,,,,,,,48280824.37440992,2830848.9475805014,919275.3193012726,0.0,19068550.79437244,1928812.6989341045,0.0,0.0,120732.06499852109,51794.9207134813,3242.9336098318604,0.0,29091541.51503896,850241.3279329158,916032.3856914408,0.0,,,,,,,,,,,,,,,,19624841.061788205,23208486.8107943,23722069.630090866,0.0,4163.688605393517,412.6160224741635,0.0,0.0,11213.158740172114,39481.0337345036,2656.123698245328,0.0,19624844.706944317,23208520.39594704,23722069.77879191,0.0
Sheep,National,Pastoral,Juvenile Female,Juvenile,Female,2019,1390529066.6932943,81530872.68151927,26475916.025570035,0.0,565212219.9495089,668424284.8488407,683215909.6323787,0.0,549190584.1058135,55551456.64614171,0.0,0.0,119916.28376097715,11861.198109100262,0.0,0.0,3477186.8094143216,1491738.0490575056,93399.2636674594,0.0,322948.56932723714,1137087.5643130883,76498.63594915383,0.0,837861295.7780665,24487677.986320056,26382516.761902574,0.0,565212324.932804,668425252.1295863,683215913.915096,0.0,,,,,,,,,,,,,,,,47834228.59478648,2804663.703042485,910772.0577428439,0.0,18892167.428540442,1910971.255210028,0.0,0.0,119615.29801303147,51315.81967707,3212.936597922562,0.0,28822445.86823301,842376.6281553869,907559.1211449213,0.0,,,,,,,,,,,,,,,,19443312.032250326,22993809.195085637,23502641.392938662,0.0,4125.122636451196,408.0254597683249,0.0,0.0,11109.437450519428,39115.83568187165,2631.5546555836854,0.0,19443315.643677842,22993842.469563253,23502641.54026423,0.0
Sheep,National,Pastoral,Juvenile Female,Juvenile,Female,2020,1460055520.027959,85607416.31559539,27799711.826848745,0.0,593472830.9469844,701845499.0912828,717376705.1139976,0.0,576650113.311104,58329029.47844879,0.0,0.0,125910.6580509144,12432.793956711292,0.0,0.0,3651046.149885038,1566324.951510381,98069.22685083238,0.0,339095.997793599,1193941.9425287428,80323.56774661152,0.0,879754360.56697,25712061.885636214,27701642.59999791,0.0,593472941.1791388,701846514.7356852,717376709.6108508,0.0,,,,,,,,,,,,,,,,41802863.27670492,2451026.738794333,795933.809837109,0.0,16510074.79823704,1670018.9896229382,0.0,0.0,104533.13653282273,44845.46436537296,2807.820953013486,0.0,25188255.341935057,736162.2848060216,793125.9888840955,0.0,,,,,,,,,,,,,,,,16991726.18452258,20094545.061767105,20539219.166952807,0.0,3604.949230616606,355.9634402874577,0.0,0.0,9708.66069063744,34183.76294546441,2299.7448208986243,0.0,16991729.340580422,20094574.140691504,20539219.295702253,0.0
Sheep,National,Pastoral,Juvenile Female,Juvenile,Female,2021,1533058296.029357,89887787.13137507,29189697.418191075,0.0,623146472.4943336,736937774.0458469,753245540.3696975,0.0,605482618.9766593,61245480.95237124,0.0,0.0,132204.81960697172,13033.95799125838,0.0,0.0,3833598.45737929,1644641.1990859,102972.688193374,0.0,356050.797683279,1253639.03965518,84339.7461339421,0.0,923742078.5953183,26997664.979917936,29086724.729997702,0.0,623146588.2378047,736938840.4721069,753245545.0913934,0.0,,,,,,,,,,,,,,,,43893006.440540165,2573578.0757340468,835730.5003289614,0.0,17335578.538148895,1753519.9391040853,0.0,0.0,109759.79335946387,47087.7375836416,2948.2120006641603,0.0,26447668.109031808,772970.3990463201,832782.2883282972,0.0,,,,,,,,,,,,,,,,17841312.493748706,21099272.314855456,21566180.12530045,0.0,3785.157429113276,373.1753733943322,0.0,0.0,10194.093725169314,35892.95109273763,2414.732061943556,0.0,17841315.807601113,21099302.847715702,21566180.260487366,0.0
Sheep,National,Pastoral,Juvenile Male,Juvenile,Male,2017,1340170298.5462224,75577076.97029138,22815835.53029847,0.0,569853317.9218777,687944109.9676332,704199958.6234763,0.0,394357886.6526779,42952807.03146239,0.0,0.0,84977.34340557655,8712.942603058089,0.0,0.0,2527149.5430436903,1099874.7677773023,68879.72495672431,0.0,259248.22423717933,840571.2023116046,56561.18574956459,0.0,943285262.3505008,31524395.17105168,22746955.805341747,0.0,569853383.2288471,687944623.5526669,704199960.8949672,0.0,,,,,,,,,,,,,,,,56153709.581623115,3166711.899093282,955993.2820629288,0.0,16523764.377063869,1799741.0137925467,0.0,0.0,105888.648378005,46085.22390991612,2886.0899808611694,0.0,39524056.55618124,1320885.661390819,953107.1920820676,0.0,,,,,,,,,,,,,,,,23877098.122097958,28825152.89393895,29506279.915939987,0.0,3560.587089410132,365.076027325941,0.0,0.0,10862.61164656305,35220.293442172304,2369.9379113375758,0.0,23877100.858487953,28825174.41337186,29506280.01111643,0.0
Sheep,National,Pastoral,Juvenile Male,Juvenile,Male,2018,1407178813.4735336,79355930.8188057,23956627.30681348,0.0,598345983.8179716,722341315.4660149,739409956.5546501,0.0,414075780.98531187,45100447.38303552,0.0,0.0,89224.09449147063,9114.336308148879,0.0,0.0,2653507.020195875,1154868.5061661678,72323.71120456053,0.0,272210.6354490383,882599.7624271848,59389.24503704282,0.0,990449525.4680259,33100614.92960401,23884303.595608916,0.0,598346052.3899739,722341854.7298671,739409958.9397156,0.0,,,,,,,,,,,,,,,,51301869.5712573,2893098.996084805,873392.747029503,0.0,15096064.199750341,1644238.2781037784,0.0,0.0,96739.56838539676,42103.32966074309,2636.7236086840285,0.0,36109065.80312157,1206757.3883202837,870756.023420819,0.0,,,,,,,,,,,,,,,,21814049.022343777,26334577.807133038,26956853.519717336,0.0,3252.8651045534343,332.28363590482877,0.0,0.0,9924.05114545756,32177.16004684129,2165.168544077938,0.0,21814051.522290394,26334597.46721003,26956853.606670264,0.0
Sheep,National,Pastoral,Juvenile Male,Juvenile,Male,2019,1477537754.1472104,83323727.35974598,25154458.67215419,0.0,628263283.0088702,758458381.2393156,776380454.3823825,0.0,434779570.0345774,47355469.752187304,0.0,0.0,93683.28385200702,9537.313511629854,0.0,0.0,2786182.3712056684,1212611.931474476,75939.89676478856,0.0,285821.16722149024,926729.750548544,62358.70728889496,0.0,1039972001.7414273,34755645.6760842,25078518.7753894,0.0,628263355.0091722,758458947.4659482,776380456.8867013,0.0,,,,,,,,,,,,,,,,50827329.23906158,2866337.9409780265,865313.8975104426,0.0,14956426.183045173,1629029.1368927255,0.0,0.0,95844.73107631365,41713.87547104726,2612.334016109136,0.0,35775058.32494009,1195594.9286142536,862701.5634943334,0.0,,,,,,,,,,,,,,,,21612269.90286708,26090983.96922284,26707503.65525615,0.0,3222.7068981331804,328.083781650336,0.0,0.0,9832.254051771695,31879.52254658344,2145.1408178224774,0.0,21612272.37967895,26091003.44743069,26707503.74140477,0.0
Sheep,National,Pastoral,Juvenile Male,Juvenile,Male,2020,1551414641.854571,87489913.72773337,26412181.605762005,0.0,659676447.1593137,796381300.3012816,815199477.1015018,0.0,456518548.53630614,49723243.23979666,0.0,0.0,98365.5286109139,9982.896224293043,0.0,0.0,2925491.4897659523,1273242.5280482,79736.891603028,0.0,300112.2255825648,973066.2380759714,65476.64265333971,0.0,1091970601.828499,36493427.95988851,26332444.71415898,0.0,659676522.7593445,796381894.8388531,815199479.7310367,0.0,,,,,,,,,,,,,,,,44418567.14988678,2504924.5398429176,756207.4190740547,0.0,13070586.841367198,1423626.6431757053,0.0,0.0,83759.77425948025,36454.21875263059,2282.9476907336993,0.0,31264220.534260105,1044843.6779145817,753924.471383321,0.0,,,,,,,,,,,,,,,,18887202.54071926,22801200.47214469,23339983.868464716,0.0,2816.3043714831465,285.8203953515854,0.0,0.0,8592.51594313026,27859.868581359493,1874.6623694164805,0.0,18887204.70522445,22801217.49435547,23339983.94375095,0.0
